,number,title_x,whites,reds,blues,greens,yellows,magentas,blacks,overlaps,density,texture,drips,words,characters,loneliness,hiding,peace_and_harmony,knowledge_and_empathy,secrets,friendship,dreams,pride,art,crypto,questions,money,drink,profanity,weight,rank_whites,rank_reds,rank_blues,rank_greens,rank_yellows,rank_magentas,rank_blacks,rank_overlaps,rank_density,rank_texture,rank_drips,rank_words,rank_characters,rank_weight,days_since_0714,title_y,usd,date,image,correlation,log_usd
0,21,His tears won't die,0.361725,0.164569,0.1358,0.128941,0.122954,0.067362,0.018648,0.463178,0.591392,0.593086,0.261875,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,2647,3043,148,8118,9828,4840,9560,2872,7966,6015,401,6140,4761,1819,493 days ago,His tears won't die,9920,03/08/2022,21,0.916284986734804,9.20230820027892
1,30,I will return,0.379699,0.177866,0.142108,0.123113,0.092163,0.067816,0.017235,0.41456,0.479176,0.534027,0.429357,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.87,5706,9165,578,6406,1730,5133,9161,1599,4651,4035,4814,1077,1339,9763,698 days ago,I will return,41170,08/15/2021,30,0.9330076289808904,10.62546511476395
2,33,I still talk at night,0.372786,0.174381,0.151484,0.130517,0.091349,0.072038,0.007444,0.517782,0.523452,0.295746,0.435614,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,4495,8013,2533,8509,1449,7720,1503,4736,6090,248,5040,6140,5917,288,709 days ago,I still talk at night,9999,08/04/2021,33,0.9016733960551534,9.21024036697585
3,35,My soul here on earth,0.38895,0.16549,0.15676,0.116729,0.096879,0.068593,0.006598,0.618742,0.471847,0.48601,0.464086,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,7280,3481,4187,4004,4244,5602,1133,7936,4412,2540,6056,6140,5917,818,414 days ago,My soul here on earth,10795,05/26/2022,35,0.9134869358924922,9.286838342948908
4,42,It’s his pleasure,0.378548,0.168977,0.156454,0.126274,0.093014,0.068574,0.008159,0.624616,0.496489,0.395099,0.400422,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,5509,5354,4101,7386,2092,5586,1860,8078,5201,838,3787,3458,3491,637,710 days ago,It’s his pleasure,8820,08/03/2021,42,0.8785247708757417,9.084777149000837
5,64,Throw sand out of her eyes,0.366873,0.170469,0.157678,0.124212,0.097533,0.075502,0.007734,0.549843,0.581512,0.544924,0.464324,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.61,3495,6197,4512,6769,4649,9167,1626,5908,7716,4423,6068,8063,8142,2019,700 days ago,Throw sand out of her eyes,10605,08/13/2021,64,0.9195606197536916,9.269080866998783
6,76,Love for the soul,0.341024,0.172257,0.169728,0.123821,0.103516,0.0776,0.012054,0.611669,0.577923,0.604486,0.567416,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.48,684,7110,8126,6647,7610,9643,4886,7778,7637,6415,8716,3458,3491,8818,630 days ago,Love for the soul,21000,10/22/2021,76,0.9208047467166838,9.95227771670556
7,80,Say all you want,0.381112,0.166897,0.160635,0.119541,0.090591,0.075017,0.006208,0.471732,0.510271,0.392248,0.388495,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.57,5941,4186,5544,5106,1187,9018,962,3147,5638,799,3355,3458,2877,1953,696 days ago,Say all you want,25489,08/17/2021,80,0.912595043183863,10.146002265529594
8,87,Pictures to show,0.369411,0.172895,0.163539,0.11471,0.097566,0.072616,0.009264,0.611833,0.451255,0.450408,0.491473,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37,3936,7396,6465,3272,4670,8024,2488,7786,3835,1704,6971,1077,2877,3545,518 days ago,Pictures to show,11000,02/11/2022,87,0.9015405296914356,9.305650551780507
9,90,This is the future,0.368209,0.174011,0.162173,0.114801,0.095089,0.078081,0.007636,0.623269,0.62345,0.622901,0.49754,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.91,3721,7863,6049,3303,3218,9723,1581,8040,8620,6995,7145,3458,4129,2534,352 days ago,This is the future,8863,07/27/2022,90,0.915660445213396,9.089640586738398
10,93,Time for a question,0.383841,0.177075,0.145086,0.119884,0.091794,0.066629,0.015691,0.250145,0.603939,0.559459,0.499446,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08,6428,8928,1031,5231,1603,4373,8355,92,8245,4910,7188,3458,4761,2905,698 days ago,Time for a question,31570,08/15/2021,93,0.9069274656524609,10.359962581552038
